ListingID,Title,UserID,baseurl,Price,AboutListing,HostName,MemberDate,Lat,Long,BookInstantly,Cancellation,OverallCounter,PageCounter,PageNumber,A_AC,A_Breakfast,A_CableTV,A_CarbonMonoxDetector,A_Doorman,A_Dryer,A_TV,A_Elevator,A_Essentials,A_Events,A_FamilyFriendly,A_FireExt,A_Fireplace,A_FirstAidKit,A_Gym,A_Heat,A_HotTub,A_Intercom,A_Internet,A_Kitchen,A_Parking,A_Pets,A_Pool,A_SafetyCard,A_Shampoo,A_SmokeDetector,A_Smoking,A_Washer,A_Wheelchair,P_Cleaning,P_Deposit,P_ExtraPeople,P_Monthly,P_Weekly,R_CI,R_acc,R_clean,R_comm,R_loc,R_val,RespRate,RespTime,S_Accomodates,S_Bathrooms,S_BedType,S_Bedrooms,S_CheckIn,S_Checkout,S_NumBeds,S_PropType,ShortDesc
593991,Del Rey: Beach Living At Its Best 2,2926347,https://www.airbnb.com/s/Los-Angeles--CA?page=1,85,,Johnny & Mark, July 2012,33.98264287140848,-118.42007880481653,No,Moderate,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,$20,$200,$20 / night after the first guest,Not Found,Not Found,5.0,5.0,5.0,5.0,5.0,5.0,100%,within an hour,2,1.5,Real Bed,1,3:00 PM,12:00 PM (noon),1,House,"
        Private room
         · "
15440,Venice Beach Walkstreet Guesthouse,60473,https://www.airbnb.com/s/Los-Angeles--CA?page=1,140,,Maddy, December 2009,33.99254585543478,-118.46139199114133,No,Strict,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Not Found,Not Found,Not Found,Not Found,Not Found,5.0,5.0,5.0,5.0,5.0,5.0,100%,within an hour,2,1,Real Bed,Not Found,3:00 PM,11:00 AM,1,House,"
        Entire home/apt
         · "
4997209,ENTIRE HOLLYWOOD LOFT -2 QUEEN BEDS,9762413,https://www.airbnb.com/s/Los-Angeles--CA?page=1,99,,Kate, November 2013,34.09917374262924,-118.32121539994515,No,Moderate,3,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,$40,$100,$20 / night after 3 guests,Not Found,Not Found,4.5,4.5,4.5,4.5,4.5,4.5,99%,within an hour,4,1,Not Found,0,3:00 PM,11:00 AM,2,Apartment,"
        Entire home/apt
         · "
15154,Gorgeous Guest House -Close to all!,59281,https://www.airbnb.com/s/Los-Angeles--CA?page=1,95,,Virginia, December 2009,34.04939201732109,-118.31645965997501,No,Strict,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Not Found,Not Found,Not Found,Not Found,$650,5.0,5.0,5.0,5.0,5.0,5.0,100%,within an hour,2,1,Real Bed,Not Found,4:00 PM,11:00 AM,1,Apartment,"
        Entire home/apt
         · "
4097950,Pool side cabana in exclusive area,20858107,https://www.airbnb.com/s/Los-Angeles--CA?page=1,85,,Joy, September 2014,33.77169854397373,-118.32946018800007,No,Strict,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,$35,$100,No Charge,Not Found,Not Found,5.0,5.0,5.0,5.0,5.0,5.0,100%,within a few hours,2,1,Real Bed,1,3:00 PM,12:00 PM (noon),1,Not Found,"
        Entire home/apt
         · "
3905722," Big House, Hip Scene, Chill Ppl 3",148358,https://www.airbnb.com/s/Los-Angeles--CA?page=1,70,,Zack+Mel, June 2010,34.07963323451907,-118.27755417837034,No,Strict,6,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,$10,Not Found,$30 / night after 2 guests,Not Found,Not Found,5.0,5.0,5.0,5.0,5.0,5.0,100%,within an hour,3,1,Not Found,1,4:00 PM,11:00 AM,2,House,"
        Private room
         · "
206783,Cozy vintage Venice Beach studio,1433457,https://www.airbnb.com/s/Los-Angeles--CA?page=1,129,,B, November 2011,33.985930186379925,-118.4756155187987,No,Moderate,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,$50,$100,No Charge,Not Found,$850,4.5,4.5,4.0,4.5,4.5,4.5,89%,within a few hours,2,1,Real Bed,1,3:00 PM,12:00 PM (noon),1,Apartment,"
        Entire home/apt
         · "
7698024,Full Apt In New Home...Amazing view,6759416,https://www.airbnb.com/s/Los-Angeles--CA?page=1,112,,Mike, June 2013,34.13800805254594,-118.20796731302237,No,Flexible,8,8,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,$50,$100,$10 / night after 2 guests,Not Found,$850,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,100%,within an hour,6,1,Not Found,2,Not Found,Not Found,3,Apartment,"
        Entire home/apt
        
         · 1 review
      "
20585,"Private Studio, 6 Doors to Beach",77857,https://www.airbnb.com/s/Los-Angeles--CA?page=1,114,,Barbara, February 2010,33.980124260889696,-118.4649026172244,No,Moderate,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Not Found,$200,Not Found,Not Found,$700,5.0,5.0,5.0,5.0,5.0,5.0,100%,within an hour,2,1,Real Bed,1,3:00 PM,11:00 AM,1,Apartment,"
        Entire home/apt
         · "
6202694,1 bedroom apt in East Hollywood,16589093,https://www.airbnb.com/s/Los-Angeles--CA?page=1,69,,Pelle, June 2014,34.10113713123037,-118.30144290740499,No,Flexible,10,10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Not Found,Not Found,No Charge,Not Found,$400,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,100%,within an hour,3,1,Not Found,1,Not Found,Not Found,2,Apartment,"
        Entire home/apt
        
         · 1 review
      "
7837131,Beach house on the sand in Hermosa,37731439,https://www.airbnb.com/s/Los-Angeles--CA?page=1,89,,Lance, July 2015,33.8580359066011,-118.40043441768947,No,Flexible,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Not Found,Not Found,No Charge,Not Found,$590,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,100%,within an hour,2,1,Real Bed,1,Not Found,Not Found,1,House,"
        Private room
        
        
      "
7995377,Venice Beach House Modern Luxury,1448739,https://www.airbnb.com/s/Los-Angeles--CA?page=1,650,,Shaahin, November 2011,33.99082865078228,-118.43815370230304,No,Strict,12,12,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,$25,$1000,No Charge,Not Found,$4500,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,100%,within an hour,10,1,Not Found,5,Not Found,Not Found,8,House,"
        Entire home/apt
        
        
      "
1678005,Guesthouse with swimming pool,8877518,https://www.airbnb.com/s/Los-Angeles--CA?page=1,110,,Amaia, September 2013,33.98766881877667,-118.42202839306373,No,Moderate,13,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,$40,Not Found,No Charge,Not Found,$720,5.0,5.0,4.5,5.0,4.5,5.0,100%,within an hour,4,1,Not Found,1,3:00 PM,12:00 PM (noon),3,Not Found,"
        Entire home/apt
         · "
